nodeid	1	2	3	4	5	6
29	4.2852495148124565E-5	1.0	7.961909325737694E-6	7.961909325737694E-6	7.961909325737694E-6	2.6358478536023342E-5
28	0.4534817307365575	4.9430907926071056E-5	1.0690740033377982E-5	1.0690740033377982E-5	0.26446372903868176	0.02092146798807415
31	0.3697427137988072	0.37263306569472743	2.39921802230779E-6	2.39921802230779E-6	0.050385524852705844	7.9443477707001E-6
30	0.1993378574272553	0.8324984903406902	1.0113075648556676E-5	1.0113075648556676E-5	1.0113075648556676E-5	3.3477409957024563E-5
34	1.4374367161000372E-4	1.0	0.09683274795813118	2.671315053281678E-5	2.671315053281678E-5	8.83742690391001E-5
35	0.4144660559563658	0.4129987765651465	0.10200671592268801	0.010228286623511641	0.09804892749155597	6.772388914222244E-6
32	0.47904024095450026	0.48191265649224735	5.19781911893965E-6	5.19781911893965E-6	5.19781911893965E-6	1.720955036170579E-5
33	0.37257522748580385	0.3746805524518652	5.126626372232583E-6	5.126626372232583E-6	5.126626372232583E-6	1.697379162951979E-5
38	0.352718960211618	0.8134587598618379	5.670266463280641E-6	5.670266463280641E-6	5.670266463280641E-6	1.8773422735258092E-5
39	0.06391767010226392	0.993827937492521	8.702321377584402E-6	8.702321377584402E-6	8.702321377584402E-6	2.880893503572358E-5
36	0.3626888480065746	0.36594100837183774	1.0690740033377982E-5	1.0690740033377982E-5	0.28316741000569445	3.538891852426177E-5
37	1.0	7.86172830267919E-5	1.7004585932453193E-5	1.7004585932453193E-5	1.7004585932453193E-5	5.627608101446774E-5
42	0.5663999805342517	0.576454169865558	0.04491319069467598	7.484296577061488E-6	0.1442306087483954	2.477776593125147E-5
43	0.6568597989069023	0.660374569513099	2.3376523915066442E-5	2.3376523915066442E-5	2.3376523915066442E-5	7.734540492410793E-5
40	0.08295427136837107	0.7582391245213921	4.56400903482255E-6	4.56400903482255E-6	0.08710161656125819	1.5111448965113111E-5
41	0.11606695381117907	3.035819870786752E-5	6.565378631920355E-6	6.565378631920355E-6	0.28023695516769503	2.1736309904125382E-5
46	1.1840156971740018E-4	0.8644255085117061	2.200237664003502E-5	2.200237664003502E-5	2.200237664003502E-5	7.280266606460119E-5
47	0.3778485022407469	6.178107179480741E-5	1.3362302127736558E-5	0.17435167747870484	1.3362302127736558E-5	0.3918904691162835
44	0.39273263055401664	0.40022064374311583	1.169264132207829E-5	1.169264132207829E-5	0.08620916910436387	3.870398468576069E-5
45	0.8754555988592329	8.235783741350521E-5	1.7813870042102735E-5	1.7813870042102735E-5	1.7813870042102735E-5	5.8952488820753597E-5
51	0.4408031675989605	6.406783267080532E-5	1.3856983168998692E-5	1.3856983168998692E-5	0.2788564367306438	4.586455789659583E-5
50	0.09833665959013516	3.460680666461051E-5	7.484296577061488E-6	7.484296577061488E-6	0.24575638116750972	2.477776593125147E-5
