nodeid	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
22	5.204553305785124E-5	0.999011336907978	5.204553305785124E-5	4.5984733144113316E-5	5.204553305785124E-5	5.204553305785124E-5	0.0	5.204553305785124E-5	5.052098705760814E-5	5.204553305785124E-5	5.204553305785124E-5	4.34311E-5	4.34311E-5	4.34311E-5	5.5156055292839404E-5
25	5.4408553719008265E-5	0.9043708998871822	5.4408553719008265E-5	4.807257561844339E-5	5.4408553719008265E-5	5.4408553719008265E-5	0.0	5.4408553719008265E-5	5.2814788835110825E-5	0.27209669421487603	5.4408553719008265E-5	4.5403E-5	4.5403E-5	4.5403E-5	5.766030283508331E-5
24	2.6615169421487603E-5	0.292793347107438	0.372639214876033	0.5927491872177729	2.6615169421487603E-5	2.6615169421487603E-5	0.0	2.6615169421487603E-5	0.601064369287009	2.6615169421487603E-5	2.6615169421487603E-5	2.22099E-5	2.22099E-5	2.22099E-5	2.8205835736337182E-5
27	3.862524380165289E-5	3.862524380165289E-5	0.8521575574527613	0.38712132878827354	3.862524380165289E-5	3.862524380165289E-5	0.0	3.862524380165289E-5	0.39255350726364013	3.862524380165289E-5	3.862524380165289E-5	3.22321E-5	3.22321E-5	3.22321E-5	4.09336970466861E-5
26	3.421400826446281E-5	3.421400826446281E-5	3.421400826446281E-5	3.0229722848317893E-5	0.17110479338842974	3.421400826446281E-5	0.0	3.421400826446281E-5	0.5795140895610434	3.421400826446281E-5	0.5132448760330579	2.8550999999999998E-5	2.8550999999999998E-5	2.8550999999999998E-5	3.625882224180042E-5
29	2.5483210743801655E-5	2.5483210743801655E-5	2.5483210743801655E-5	0.17027793527635074	2.5483210743801655E-5	2.5483210743801655E-5	0.0	2.5483210743801655E-5	0.1726679464494576	2.5483210743801655E-5	1.0	2.12653E-5	2.12653E-5	2.12653E-5	2.7006225092590744E-5
28	3.421400826446281E-5	0.4106028512396694	3.421400826446281E-5	0.8762776279662186	3.421400826446281E-5	3.421400826446281E-5	0.0	3.421400826446281E-5	0.888569812058038	3.421400826446281E-5	3.421400826446281E-5	2.8550999999999998E-5	2.8550999999999998E-5	2.8550999999999998E-5	3.625882224180042E-5
31	7.680446280991736E-6	7.680446280991736E-6	0.12289528925619836	0.6777590572144536	7.680446280991736E-6	7.680446280991736E-6	0.0	7.680446280991736E-6	0.7371481679165389	7.680446280991736E-6	7.680446280991736E-6	6.4092E-6	6.4092E-6	6.4092E-6	8.13947124486523E-6
30	3.23659173553719E-5	3.23659173553719E-5	0.16186194214876032	0.2523070256952289	3.23659173553719E-5	3.23659173553719E-5	0.0	3.23659173553719E-5	3.141783733871641E-5	0.8082355657260192	3.23659173553719E-5	2.70088E-5	2.70088E-5	2.70088E-5	3.430027943554829E-5
34	8.544358677685951E-5	8.544358677685951E-5	8.544358677685951E-5	7.549352088376883E-5	8.544358677685951E-5	8.544358677685951E-5	0.0	0.9987239988106311	8.294072686144094E-5	8.544358677685951E-5	8.544358677685951E-5	7.130120000000001E-5	7.130120000000001E-5	7.130120000000001E-5	9.055015713730025E-5
35	6.547409090909091E-6	6.547409090909091E-6	0.4714225619834711	0.25572449027263766	6.547409090909091E-6	6.547409090909091E-6	0.0	6.547409090909091E-6	0.28093635133604766	6.547409090909091E-6	0.20297723140495869	5.4637E-6	5.4637E-6	5.4637E-6	6.938717630994532E-6
32	1.6637971074380165E-5	1.6637971074380165E-5	0.2662235950413223	0.565469608843857	1.6637971074380165E-5	1.6637971074380165E-5	0.0	1.6637971074380165E-5	0.4321017809673267	1.6637971074380165E-5	1.6637971074380165E-5	1.38841E-5	1.38841E-5	1.38841E-5	1.7632346113529513E-5
