nodeid	1	2	3
140	0.0012966621564632426	1.0	0.8558821832470542
143	0.0012869566180383632	1.0	0.4742152298076001
142	0.001285448579348826	1.0	0.8942491252589438
129	0.0012932948253889004	1.0	1.0
128	0.05437051958844713	1.0	0.5404672359497731
131	0.16312569654989612	1.0	1.0
130	0.2767573745106196	1.0	0.7031519240711983
133	1.0	0.9118590704598273	0.8898325236802984
132	0.0012919913449764685	1.0	1.0
135	1.0	0.8978315328660004	0.21968962880855392
134	0.08156414486751831	1.0	0.9329984594440487
152	1.0	1.0	0.8106610012745934
153	0.6398091759949882	1.0	0.13482313763285336
154	0.0012932948253889004	1.0	1.0
155	0.24469745196146753	1.0	1.0
156	0.10875203488244092	1.0	0.859656020138174
157	0.7922411446194257	1.0	1.507352406432289E-4
158	0.1996996125143068	1.0	0.9596015691565851
159	0.1739596310042102	1.0	1.0
144	0.001289366225294881	1.0	0.5753950468265113
145	0.001296352561819028	1.0	1.0
146	0.06524644108036937	1.0	0.26156500251002646
147	0.4846421910105048	1.0	0.7420835906685966
148	0.3036352954054595	1.0	0.29436993923930627
149	0.15221298666303534	1.0	0.9843336042362703
150	1.0	1.0	1.0
151	0.10875054750638793	1.0	0.5687495203058726
171	0.0013013352647874936	1.0	0.8906489553872455
170	1.0	1.0	0.8295046164937983
169	1.0	1.0	0.3413616824977337
168	0.001289366225294881	1.0	3.214056866566142E-4
175	0.0012932948253889004	1.0	1.0
174	0.3262571636562883	1.0	1.0
173	0.415234496979793	1.0	0.3870850056102882
172	1.0	1.0	0.80701942285682
163	0.16312530071458992	1.0	0.9431996674867759
162	0.0012960098252474996	1.0	1.0
161	0.0012990388278447148	1.0	0.2903694680168231
160	0.16311549422835553	1.0	1.0
167	0.0012979364108315146	1.0	0.6879311492999856
166	0.02718505470501696	1.0	1.0
165	0.0012979364108315146	1.0	0.9168252191756413
164	0.17904632623244082	1.0	1.0
186	0.0012882507415416808	1.0	3.443421609508018E-4
187	0.0012882507415416808	1.0	3.443421609508018E-4
184	0.001295255065583192	1.0	0.5629786359680153
185	0.001289366225294881	1.0	0.8045393691804331
190	0.16312126427038848	1.0	1.0
191	0.3574804893698589	1.0	1.0
188	0.2757710052347857	1.0	0.6951140696874916
189	0.0012974714287457404	1.0	0.6101022677702385
178	0.05437490806026367	1.0	0.7548577179016763
179	0.001285448579348826	1.0	1.0
176	0.0012943707867150984	1.0	2.1920720307048698E-4
177	0.0012966621564632426	1.0	0.8957300154200426
182	0.6760751948101111	0.9213879472468787	1.0
183	1.0	1.0	0.9194431373118501
180	0.05038532982136426	1.0	0.06698696624725652
181	0.14830079406067215	1.0	0.7740467497166108
205	0.012546236525075468	1.0	0.8597217307100964
204	0.0012912186213817727	1.0	1.0
207	0.2741793845061786	1.0	1.0
206	0.441632447250012	1.0	1.0
201	1.0	1.0	0.5378444897157788
200	0.23527705553480033	1.0	1.78633979722072E-4
203	0.3806404972970107	1.0	0.6377372825729966
202	0.0012974714287457404	1.0	0.7105077794266689
197	0.0012966621564632426	1.0	1.722567730140204E-4
196	1.0	1.0	1.0
199	0.16312670780546995	1.0	1.0
198	0.2854801014570624	1.0	1.0
193	0.001296352561819028	1.0	1.0
192	0.0012960098252474996	1.0	0.7204966519231455
195	0.08813434413268512	1.0	0.5857317889918692
194	0.001290350556112388	1.0	1.0
220	0.001295255065583192	1.0	1.0
221	0.32626638678318687	1.0	0.8837325651501899
222	0.0012932948253889004	1.0	2.411105348792521E-4
223	1.0	1.0	1.0
216	0.5544246898340015	1.0	0.4415777028445471
217	0.0012956509008894255	1.0	1.0
218	1.0	0.7708143015574364	0.7489449998174084
219	0.001298710811326736	1.0	1.0
212	0.1087512632171449	1.0	0.7610831197122074
213	0.06524619469926748	1.0	0.916381591380211
214	0.3262571636562883	1.0	1.0
215	0.0012943707867150984	1.0	1.0
208	0.0012912186213817727	1.0	0.5557874228124194
209	1.0	0.9001943250127837	0.4334921155218589
210	1.0	1.0	1.0
211	0.001285448579348826	1.0	1.0
239	0.0012985292543571541	1.0	0.4797638973661962
238	1.0	1.0	0.6575568738725464
237	0.23666969174869035	1.0	0.1930376975535795
236	1.0	1.0	0.8699942321132285
235	0.09659540057098542	1.0	1.0
234	0.0012948292912830527	1.0	1.0
233	0.0012988774114829275	1.0	1.0
232	1.0	1.0	1.0
231	0.0012985292543571541	1.0	1.0
230	0.25061673936859785	1.0	1.3781775083247146E-4
229	0.36704667158602394	1.0	0.9243925687738788
228	0.23528826344501397	1.0	0.5288718038425992
227	1.0	0.9088061748303637	0.36809360991830387
226	0.0012979364108315146	1.0	0.7231534655081182
225	0.1278156851683641	1.0	0.9386861026474164
224	1.0	1.0	0.43698474451968083
254	1.0	1.0	1.8549849846702512E-4
255	1.0	1.0	0.76672049942142
252	0.0012932948253889004	1.0	2.411105348792521E-4
253	0.0012990388278447148	1.0	0.47450489622515013
250	0.0012932948253889004	1.0	2.411105348792521E-4
251	1.0	1.0	0.6684394195747454
248	0.3262555228674242	1.0	1.0
249	0.2340963371186554	1.0	0.8751340996034481
246	0.16312039620511912	1.0	3.0133626344797413E-4
247	0.24064218141001614	1.0	0.8091354348994901
244	0.08155849214310165	1.0	1.0
245	0.001298710811326736	1.0	1.0
242	1.0	1.0	0.30030414589227394
243	0.04429347739897207	1.0	0.7674273037334539
240	0.3262670676978129	1.0	0.2613527518806115
241	0.4515270210760588	1.0	0.436604078387652
275	0.16312798205983822	1.0	0.8282802544021513
274	1.0	1.0	1.0
273	0.001292677855946495	1.0	1.0
272	0.16312923174325247	1.0	0.9545771682423901
279	0.22921985262176184	1.0	0.8006389923716171
278	0.010788699104914493	1.0	1.0
277	1.0	1.0	1.0
276	0.2610124017857428	1.0	0.6149088651394958
283	1.0	1.0	0.9429074896625159
282	1.0	0.9149490132018403	0.8060419022214643
281	0.21750826418441668	1.0	0.550243531615032
280	0.42222508938921277	1.0	0.4079774472435176
287	1.0	1.0	0.9388520419705682
286	0.1129382290058008	1.0	0.6035911215317097
285	1.0	1.0	0.5832460332506635
284	0.1811848666891816	1.0	0.8794292370333672
258	0.001295255065583192	1.0	1.0
259	0.12234063477014553	1.0	2.1920720307048698E-4
256	0.14408722780160088	1.0	0.8578908726629422
257	0.0012974714287457404	1.0	0.9268868105139597
262	0.0012960098252474996	1.0	0.8423196053655345
263	0.19575639989886212	1.0	0.3410890709897836
260	0.001296352561819028	1.0	1.78633979722072E-4
261	0.21750227872608668	1.0	1.0
266	0.32626489670219716	1.0	0.8905448632243678
267	0.0012956509008894255	1.0	1.0
264	0.3806410192941594	1.0	1.5559250436974106E-4
265	0.0012932948253889004	1.0	1.0
270	0.3261799221531315	1.0	0.36774429791980623
271	0.2283843656329544	1.0	0.48714231432617083
268	0.0012956509008894255	1.0	1.0
269	1.0	1.0	1.0
305	0.5480922659869416	1.0	0.46289543381393017
304	1.0	1.0	0.953786451136266
307	0.617883880199712	1.0	0.7836406245929828
306	0.3262618344677751	1.0	1.0
309	1.0	1.0	0.8338438959217971
308	0.001290350556112388	1.0	1.0
311	0.24470000663441566	1.0	1.0
310	0.0012932948253889004	1.0	0.89030766474181
313	0.3670398122332267	1.0	1.0
312	0.0013006286835255641	1.0	0.8625878559942829
315	0.22071587491249267	1.0	0.7672915592094562
314	0.1087493877040408	1.0	1.0
317	0.13594252042162003	1.0	0.599778164044154
316	0.001298341597261378	1.0	0.14383886467956364
319	1.0	1.0	1.0
318	0.001297717609135803	1.0	1.507352406432289E-4
288	1.0	1.0	1.0
289	0.0012869566180383632	1.0	1.0
290	1.0	1.0	0.9364416428888029
291	1.0	1.0	0.8247494064984328
292	0.054374509012678235	1.0	0.8797604017070659
293	0.001299593122239914	1.0	1.0
294	0.3261827886210852	0.8847364502651232	1.0
295	0.0012960098252474996	1.0	1.0
296	0.0012960098252474996	1.0	1.0
297	0.0012919913449764685	1.0	1.0
298	1.0	1.0	0.3096557835164613
299	0.11023549527203858	1.0	0.641171094817381
300	1.0	0.9222704509408004	0.8816191303313506
